invoice_id,customer_id,product_id,time_id,branch_id,payment_id,quantity,tax_5_percent,sales,cogs,gross_margin_percentage,gross_income,rating
232-11-3025,1,69,69,1,2,10,39.385,827.085,787.7,4.761904762,39.385,6.4
382-03-4532,1,70,70,1,2,1,0.9165,19.2465,18.33,4.761904762,0.9165,4.3
393-65-2792,1,71,71,2,3,10,44.74,939.54,894.8,4.761904762,44.74,9.6
796-12-2025,1,72,72,2,2,10,31.06,652.26,621.2,4.761904762,31.06,5.9
510-95-6347,1,73,73,3,1,3,7.278,152.838,145.56,4.761904762,7.278,4.0
841-35-6630,1,74,74,2,2,6,22.773,478.233,455.46,4.761904762,22.773,8.7
287-21-9091,1,75,75,1,1,9,33.6015,705.6315,672.03,4.761904762,33.6015,9.4
732-94-0499,1,76,76,2,3,10,20.825,437.325,416.5,4.761904762,20.825,5.4
263-10-3913,1,77,77,2,3,9,22.068,463.428,441.36,4.761904762,22.068,8.6
381-20-0914,1,78,78,1,3,9,9.0045,189.0945,180.09,4.761904762,9.0045,5.7
829-49-1914,1,79,79,2,1,10,39.155,822.255,783.1,4.761904762,39.155,6.6
756-01-7507,1,80,80,2,2,5,5.095,106.995,101.9,4.761904762,5.095,6.0
870-72-4431,1,81,81,2,3,6,29.757,624.897,595.14,4.761904762,29.757,5.5
847-38-7188,1,82,82,3,1,3,14.502,304.542,290.04,4.761904762,14.502,6.4
480-63-2856,1,83,83,2,1,8,7.7,161.7,154.0,4.761904762,7.7,6.6
787-56-0757,1,84,84,2,3,4,16.072,337.512,321.44,4.761904762,16.072,8.3
360-39-5055,1,85,85,2,2,5,12.2275,256.7775,244.55,4.761904762,12.2275,6.6
730-50-9884,1,86,86,2,1,7,29.071,610.491,581.42,4.761904762,29.071,4.0
362-58-8315,1,87,87,2,2,5,19.13,401.73,382.6,4.761904762,19.13,9.9
633-44-8566,1,88,88,1,3,7,17.283,362.943,345.66,4.761904762,17.283,7.3
504-35-8843,1,89,89,1,2,1,2.1235,44.5935,42.47,4.761904762,2.1235,5.7
318-68-5053,1,90,90,3,2,6,23.097,485.037,461.94,4.761904762,23.097,6.1
565-80-5980,1,91,91,2,2,4,9.476,198.996,189.52,4.761904762,9.476,7.1
225-32-0908,1,92,92,2,1,10,22.43,471.03,448.6,4.761904762,22.43,8.2
873-51-0671,1,93,93,1,1,7,7.693,161.553,153.86,4.761904762,7.693,5.1
152-08-9985,1,94,94,3,3,9,28.962,608.202,579.24,4.761904762,28.962,8.6
512-91-0811,1,95,95,2,3,1,4.4875,94.2375,89.75,4.761904762,4.4875,6.6
594-34-4444,1,96,96,1,1,1,4.858,102.018,97.16,4.761904762,4.858,7.2
766-85-7061,1,97,97,3,1,10,43.935,922.635,878.7,4.761904762,43.935,5.1
871-39-9221,1,98,98,2,2,6,3.735,78.435,74.7,4.761904762,3.735,4.1
865-92-6136,1,99,99,1,1,3,7.9125,166.1625,158.25,4.761904762,7.9125,9.3
733-01-9107,1,100,100,3,2,6,24.81,521.01,496.2,4.761904762,24.81,7.4
163-56-7055,1,101,101,2,2,1,2.4355,51.1455,48.71,4.761904762,2.4355,4.1
189-98-2939,1,102,102,2,2,9,35.3475,742.2975,706.95,4.761904762,35.3475,7.2
551-21-3069,1,103,103,2,2,9,10.3815,218.0115,207.63,4.761904762,10.3815,4.9
212-62-1842,1,104,104,1,2,6,17.478,367.038,349.56,4.761904762,17.478,9.9
716-39-1409,1,105,105,3,2,7,10.6225,223.0725,212.45,4.761904762,10.6225,8.0
704-48-3927,1,106,106,1,1,10,44.335,931.035,886.7,4.761904762,44.335,7.3
628-34-3388,1,107,107,2,3,6,8.214,172.494,164.28,4.761904762,8.214,7.9
630-74-5166,1,108,108,1,2,6,18.639,391.419,372.78,4.761904762,18.639,7.4
588-01-7461,1,109,109,2,2,9,15.291,321.111,305.82,4.761904762,15.291,4.2
861-77-0145,1,110,110,2,2,10,40.985,860.685,819.7,4.761904762,40.985,9.2
479-26-8945,1,111,111,3,1,2,1.649,34.629,32.98,4.761904762,1.649,4.6
210-67-5886,1,112,112,2,3,3,14.7315,309.3615,294.63,4.761904762,14.7315,7.8
227-78-1148,1,113,113,3,2,7,25.494,535.374,509.88,4.761904762,25.494,8.4
645-44-1170,1,114,114,1,1,9,26.1315,548.7615,522.63,4.761904762,26.1315,4.3
237-01-6122,1,115,115,2,3,9,36.3555,763.4655,727.11,4.761904762,36.3555,9.5
225-98-1496,1,116,116,2,3,3,4.053,85.113,81.06,4.761904762,4.053,7.1
291-32-1427,1,117,117,3,1,5,5.485,115.185,109.7,4.761904762,5.485,5.3
659-65-8956,1,118,118,3,1,1,2.568,53.928,51.36,4.761904762,2.568,5.2
642-32-2990,1,119,119,1,1,10,5.48,115.08,109.6,4.761904762,5.48,6.0
378-24-2715,1,120,120,3,1,2,5.344,112.224,106.88,4.761904762,5.344,4.1
638-60-7125,1,121,121,1,3,8,39.824,836.304,796.48,4.761904762,39.824,5.2
659-36-1684,1,122,122,2,3,7,19.992,419.832,399.84,4.761904762,19.992,6.5
219-22-9386,1,123,123,3,3,9,44.982,944.622,899.64,4.761904762,44.982,4.2
336-78-2147,1,124,124,2,3,8,25.564,536.844,511.28,4.761904762,25.564,4.6
268-27-6179,1,125,125,3,1,8,22.588,474.348,451.76,4.761904762,22.588,7.3
668-90-8900,1,126,126,1,3,7,32.7915,688.6215,655.83,4.761904762,32.7915,4.5
870-54-3162,1,127,127,1,2,5,8.0625,169.3125,161.25,4.761904762,8.0625,9.0
189-08-9157,1,128,128,2,3,9,14.2785,299.8485,285.57,4.761904762,14.2785,5.9
663-86-9076,1,129,129,2,1,8,27.416,575.736,548.32,4.761904762,27.416,8.5
549-84-7482,1,130,130,3,1,9,40.626,853.146,812.52,4.761904762,40.626,7.2
191-10-6171,2,131,131,3,2,7,13.867,291.207,277.34,4.761904762,13.867,7.5
802-70-5316,1,132,132,1,2,6,27.639,580.419,552.78,4.761904762,27.639,8.3
695-51-0018,2,133,133,3,2,4,6.968,146.328,139.36,4.761904762,6.968,7.4
590-83-4591,1,134,134,3,3,6,26.235,550.935,524.7,4.761904762,26.235,8.8
483-71-1164,2,135,135,2,1,6,24.39,512.19,487.8,4.761904762,24.39,5.3
597-78-7908,2,136,136,2,2,3,13.533,284.193,270.66,4.761904762,13.533,6.2
700-81-1757,2,137,137,1,3,5,6.5775,138.1275,131.55,4.761904762,6.5775,8.8
354-39-5160,1,138,138,1,2,6,10.326,216.846,206.52,4.761904762,10.326,9.8
241-72-9525,2,139,139,3,2,10,25.955,545.055,519.1,4.761904762,25.955,8.2
575-30-8091,2,140,140,1,1,8,29.0,609.0,580.0,4.761904762,29.0,9.2
731-81-9469,1,141,141,2,3,10,44.9,942.9,898.0,4.761904762,44.9,5.4
280-17-4359,3,142,142,2,2,10,45.25,950.25,905.0,4.761904762,45.25,8.1
338-65-2210,1,143,143,2,2,10,34.3,720.3,686.0,4.761904762,34.3,9.1
488-25-4221,1,144,144,2,3,1,1.5205,31.9305,30.41,4.761904762,1.5205,8.4
239-10-7476,2,145,145,1,1,6,23.385,491.085,467.7,4.761904762,23.385,8.0
458-41-1477,2,146,146,2,3,6,13.878,291.438,277.56,4.761904762,13.878,9.5
685-64-1609,1,147,147,1,1,10,15.07,316.47,301.4,4.761904762,15.07,9.2
568-90-5112,4,148,148,2,3,4,13.228,277.788,264.56,4.761904762,13.228,5.6
262-47-2794,3,149,149,3,3,8,28.744,603.624,574.88,4.761904762,28.744,6.2
238-49-0436,4,150,150,1,3,8,12.984,272.664,259.68,4.761904762,12.984,4.9
608-96-3517,1,151,151,3,3,4,18.308,384.468,366.16,4.761904762,18.308,4.8
584-86-7256,3,152,152,2,3,7,12.096,254.016,241.92,4.761904762,12.096,7.3
746-94-0204,4,153,153,1,3,9,37.458,786.618,749.16,4.761904762,37.458,7.4
214-17-6927,2,154,154,2,1,6,4.944,103.824,98.88,4.761904762,4.944,9.9
400-89-4171,2,155,155,2,2,8,32.388,680.148,647.76,4.761904762,32.388,9.3
782-95-9291,3,156,156,1,3,5,23.0725,484.5225,461.45,4.761904762,23.0725,9.0
279-74-2924,3,157,157,3,2,1,3.6085,75.7785,72.17,4.761904762,3.6085,6.1
307-85-2293,4,158,158,3,1,5,12.57,263.97,251.4,4.761904762,12.57,9.7
743-04-1105,3,159,159,3,1,9,43.749,918.729,874.98,4.761904762,43.749,6.0
423-57-2993,4,160,160,3,1,6,28.017,588.357,560.34,4.761904762,28.017,10.0
894-41-5205,2,161,161,2,3,8,17.272,362.712,345.44,4.761904762,17.272,8.3
275-28-0149,4,162,162,1,2,1,3.1845,66.8745,63.69,4.761904762,3.1845,6.0
101-17-6199,4,163,163,1,3,7,16.0265,336.5565,320.53,4.761904762,16.0265,7.0
423-80-0988,4,164,164,2,1,2,7.64,160.44,152.8,4.761904762,7.64,6.5
548-46-9322,4,165,165,3,3,10,19.95,418.95,399.0,4.761904762,19.95,5.9
505-02-0892,3,166,166,3,1,8,17.028,357.588,340.56,4.761904762,17.028,5.6
234-65-2137,4,167,167,2,2,10,47.79,1003.59,955.8,4.761904762,47.79,4.8
687-47-8271,4,168,168,1,3,10,49.49,1039.29,989.8,4.761904762,49.49,8.7
796-32-9050,4,169,169,1,2,6,15.384,323.064,307.68,4.761904762,15.384,6.5
105-31-1824,3,170,170,1,3,7,24.332,510.972,486.64,4.761904762,24.332,8.5
249-42-3782,4,171,171,1,1,5,17.5025,367.5525,350.05,4.761904762,17.5025,5.5
316-55-4634,3,172,172,3,3,5,20.0125,420.2625,400.25,4.761904762,20.0125,9.4
733-33-4967,4,173,173,2,2,8,8.34,175.14,166.8,4.761904762,8.34,6.3
608-27-6295,3,174,174,3,3,6,15.867,333.207,317.34,4.761904762,15.867,9.8
414-12-7047,4,175,175,3,1,8,7.916,166.236,158.32,4.761904762,7.916,8.7
827-26-2100,3,176,176,1,1,9,15.228,319.788,304.56,4.761904762,15.228,8.8
175-54-2529,3,177,177,1,3,8,8.868,186.228,177.36,4.761904762,8.868,9.6
139-52-2867,2,178,178,2,3,7,7.8785,165.4485,157.57,4.761904762,7.8785,4.8
407-63-8975,4,179,179,1,1,6,22.164,465.444,443.28,4.761904762,22.164,4.4
342-65-4817,3,180,180,2,1,3,13.02,273.42,260.4,4.761904762,13.02,9.9
130-98-8941,4,181,181,2,2,7,22.491,472.311,449.82,4.761904762,22.491,5.7
434-83-9547,3,182,182,2,2,8,15.388,323.148,307.76,4.761904762,15.388,7.7
851-28-6367,3,183,183,1,1,10,7.75,162.75,155.0,4.761904762,7.75,8.0
824-88-3614,4,184,184,2,1,8,13.724,288.204,274.48,4.761904762,13.724,5.7
586-25-0848,2,185,185,1,3,7,4.319,90.699,86.38,4.761904762,4.319,6.7
895-66-0685,3,186,186,3,1,3,2.712,56.952,54.24,4.761904762,2.712,8.0
305-14-0245,1,187,187,3,1,8,37.796,793.716,755.92,4.761904762,37.796,7.5
732-04-5373,3,188,188,3,2,4,9.294,195.174,185.88,4.761904762,9.294,7.0
400-60-7251,4,189,189,1,1,1,3.7035,77.7735,74.07,4.761904762,3.7035,9.9
593-65-1552,2,190,190,2,3,4,13.962,293.202,279.24,4.761904762,13.962,5.9
284-34-9626,2,191,191,3,3,3,11.556,242.676,231.12,4.761904762,11.556,7.2
437-58-8131,2,192,192,3,1,2,7.352,154.392,147.04,4.761904762,7.352,4.6
286-43-6208,2,193,193,2,2,9,39.51,829.71,790.2,4.761904762,39.51,9.2
641-43-2399,4,194,194,3,1,4,5.11,107.31,102.2,4.761904762,5.11,5.7
831-07-6050,4,195,195,1,3,5,8.1775,171.7275,163.55,4.761904762,8.1775,9.9
556-86-3144,1,196,196,2,2,1,3.7145,78.0045,74.29,4.761904762,3.7145,5.0
848-24-9445,3,197,197,2,2,2,4.37,91.77,87.4,4.761904762,4.37,4.9
856-22-8149,2,198,198,1,1,1,1.2645,26.5545,25.29,4.761904762,1.2645,6.1
699-01-4164,4,199,199,2,3,4,8.3,174.3,166.0,4.761904762,8.3,8.2
420-11-4919,1,200,200,2,3,5,17.8475,374.7975,356.95,4.761904762,17.8475,5.5
606-80-4905,1,201,201,2,3,6,5.745,120.645,114.9,4.761904762,5.745,6.8
542-41-0513,1,202,202,3,2,4,11.498,241.458,229.96,4.761904762,11.498,6.6
426-39-2418,4,203,203,2,2,7,21.4935,451.3635,429.87,4.761904762,21.4935,9.8
875-46-5808,3,204,204,3,1,10,12.95,271.95,259.0,4.761904762,12.95,8.7
394-43-4238,3,205,205,3,3,5,4.4425,93.2925,88.85,4.761904762,4.4425,5.4
749-24-1565,2,206,206,1,1,9,10.3635,217.6335,207.27,4.761904762,10.3635,7.9
672-51-8681,1,207,207,2,3,9,29.9925,629.8425,599.85,4.761904762,29.9925,9.7
263-87-5680,1,208,208,2,1,10,14.265,299.565,285.3,4.761904762,14.265,7.8
573-58-9734,2,209,209,3,1,3,4.5555,95.6655,91.11,4.761904762,4.5555,5.1
817-69-8206,2,210,210,3,3,9,44.8785,942.4485,897.57,4.761904762,44.8785,6.5
888-02-0338,4,211,211,1,1,9,11.8035,247.8735,236.07,4.761904762,11.8035,5.9
677-11-0152,2,212,212,2,2,9,41.967,881.307,839.34,4.761904762,41.967,8.8
142-63-6033,4,213,213,3,1,5,23.09,484.89,461.8,4.761904762,23.09,4.9
656-16-1063,4,214,214,3,3,3,6.963,146.223,139.26,4.761904762,6.963,4.4
891-58-8335,1,215,215,3,2,7,10.3635,217.6335,207.27,4.761904762,10.3635,6.5
802-43-8934,4,216,216,1,3,1,0.914,19.194,18.28,4.761904762,0.914,8.3
560-30-5617,2,217,217,3,2,5,6.1925,130.0425,123.85,4.761904762,6.1925,8.5
319-74-2561,1,218,218,1,2,3,14.196,298.116,283.92,4.761904762,14.196,5.5
549-03-9315,4,219,219,3,1,8,37.948,796.908,758.96,4.761904762,37.948,8.7
790-29-1172,2,220,220,3,3,3,8.601,180.621,172.02,4.761904762,8.601,7.9
239-36-3640,4,221,221,3,1,6,13.605,285.705,272.1,4.761904762,13.605,6.1
468-01-2051,4,222,222,3,1,7,21.728,456.288,434.56,4.761904762,21.728,5.4
389-25-3394,4,223,223,2,2,5,2.9525,62.0025,59.05,4.761904762,2.9525,9.4
279-62-1445,1,224,224,2,2,1,0.627,13.167,12.54,4.761904762,0.627,8.2
213-72-6612,4,225,225,1,2,2,4.325,90.825,86.5,4.761904762,4.325,6.2
746-68-6593,1,226,226,2,3,2,8.716,183.036,174.32,4.761904762,8.716,9.7
836-82-5858,3,227,227,3,1,9,31.2165,655.5465,624.33,4.761904762,31.2165,4.0
583-72-1480,3,228,228,2,1,4,7.412,155.652,148.24,4.761904762,7.412,9.7
466-61-5506,1,229,229,3,2,6,27.21,571.41,544.2,4.761904762,27.21,5.3
721-86-6247,2,230,230,1,1,8,25.368,532.728,507.36,4.761904762,25.368,7.4
289-65-5721,2,231,231,3,2,2,8.137,170.877,162.74,4.761904762,8.137,6.5
545-46-3100,1,232,232,3,3,3,1.5885,33.3585,31.77,4.761904762,1.5885,8.7
418-02-5978,2,233,233,3,2,9,37.8405,794.6505,756.81,4.761904762,37.8405,8.0
269-04-5750,3,234,234,3,2,4,14.764,310.044,295.28,4.761904762,14.764,6.7
157-13-5295,3,235,235,1,1,10,25.97,545.37,519.4,4.761904762,25.97,6.5
645-78-8093,2,236,236,1,1,2,9.314,195.594,186.28,4.761904762,9.314,4.1
211-30-9270,4,237,237,2,3,5,4.3525,91.4025,87.05,4.761904762,4.3525,4.9
755-12-3214,1,238,238,2,3,5,11.055,232.155,221.1,4.761904762,11.055,8.6
346-84-3103,1,239,239,3,2,5,3.305,69.405,66.1,4.761904762,3.305,4.3
478-06-7835,4,240,240,1,1,1,4.4845,94.1745,89.69,4.761904762,4.4845,4.9
540-11-4336,4,241,241,1,3,9,11.223,235.683,224.46,4.761904762,11.223,5.6
448-81-5016,4,242,242,1,3,2,5.977,125.517,119.54,4.761904762,5.977,5.8
142-72-4741,3,243,243,2,3,2,9.32,195.72,186.4,4.761904762,9.32,6.0
217-58-1179,3,244,244,1,2,4,12.53,263.13,250.6,4.761904762,12.53,4.2
376-02-8238,4,245,245,3,3,8,37.548,788.508,750.96,4.761904762,37.548,8.3
530-90-9855,3,246,246,1,2,8,19.036,399.756,380.72,4.761904762,19.036,5.7
866-05-7563,1,247,247,3,2,3,12.21,256.41,244.2,4.761904762,12.21,4.8
604-70-6476,3,248,248,1,1,5,4.485,94.185,89.7,4.761904762,4.485,6.8
799-71-1548,3,249,249,1,3,4,15.544,326.424,310.88,4.761904762,15.544,8.8
785-13-7708,4,250,250,3,3,7,25.571,536.991,511.42,4.761904762,25.571,4.2
845-51-0542,3,251,251,3,1,9,20.9475,439.8975,418.95,4.761904762,20.9475,6.4
662-47-5456,3,252,252,2,3,10,17.595,369.495,351.9,4.761904762,17.595,8.4
883-17-4236,2,253,253,2,3,2,1.439,30.219,28.78,4.761904762,1.439,7.2
290-68-2984,4,254,254,1,2,4,4.75,99.75,95.0,4.761904762,4.75,5.2
704-11-6354,3,255,255,1,2,8,23.56,494.76,471.2,4.761904762,23.56,8.9
110-48-7033,3,256,256,3,2,4,6.524,137.004,130.48,4.761904762,6.524,9.0
366-93-0948,3,257,257,1,3,1,3.3175,69.6675,66.35,4.761904762,3.3175,9.7
729-09-9681,3,258,258,1,1,6,7.773,163.233,155.46,4.761904762,7.773,8.7
151-16-1484,3,259,259,1,1,4,6.45,135.45,129.0,4.761904762,6.45,6.5
380-94-4661,3,260,260,2,3,4,13.188,276.948,263.76,4.761904762,13.188,6.9
850-41-9669,2,261,261,1,1,9,33.777,709.317,675.54,4.761904762,33.777,6.2
821-07-3596,2,262,262,2,1,4,3.29,69.09,65.8,4.761904762,3.29,5.6
655-85-5130,1,263,263,3,2,4,7.66,160.86,153.2,4.761904762,7.66,5.7
447-15-7839,1,264,264,1,2,10,11.12,233.52,222.4,4.761904762,11.12,4.2
154-74-7179,4,265,265,3,1,1,2.7225,57.1725,54.45,4.761904762,2.7225,7.9
253-12-6086,1,266,266,1,3,7,34.44,723.24,688.8,4.761904762,34.44,8.7
808-65-0703,4,267,267,2,3,4,7.094,148.974,141.88,4.761904762,7.094,6.9
571-94-0759,1,268,268,3,2,10,37.3,783.3,746.0,4.761904762,37.3,9.5
144-51-6085,3,269,269,1,3,4,14.148,297.108,282.96,4.761904762,14.148,4.4
731-14-2199,1,270,270,1,1,10,17.77,373.17,355.4,4.761904762,17.77,7.0
783-09-1637,2,271,271,3,1,5,16.8575,354.0075,337.15,4.761904762,16.8575,6.3
687-15-1097,1,272,272,2,2,2,2.112,44.352,42.24,4.761904762,2.112,9.7
126-54-1082,1,273,273,1,3,9,9.693,203.553,193.86,4.761904762,9.693,8.8
633-91-1052,2,274,274,1,2,2,1.203,25.263,24.06,4.761904762,1.203,5.1
477-24-6490,2,275,275,3,1,6,29.913,628.173,598.26,4.761904762,29.913,7.9
566-19-5475,4,276,276,3,2,7,16.7895,352.5795,335.79,4.761904762,16.7895,6.2
526-86-8552,1,277,277,2,2,10,10.91,229.11,218.2,4.761904762,10.91,7.1
376-56-3573,2,278,278,2,1,4,19.084,400.764,381.68,4.761904762,19.084,6.4
537-72-0426,3,279,279,2,2,10,35.495,745.395,709.9,4.761904762,35.495,5.7
828-61-5674,3,280,280,1,3,10,22.01,462.21,440.2,4.761904762,22.01,9.6
136-08-6195,2,281,281,1,3,8,27.984,587.664,559.68,4.761904762,27.984,6.4
523-38-0215,4,282,282,2,3,1,1.85,38.85,37.0,4.761904762,1.85,7.9
490-29-1201,2,283,283,1,2,1,0.767,16.107,15.34,4.761904762,0.767,6.5
667-92-0055,3,284,284,1,1,6,29.949,628.929,598.98,4.761904762,29.949,8.5
565-17-3836,1,285,285,1,2,4,9.534,200.214,190.68,4.761904762,9.534,9.1
498-41-1961,4,286,286,3,2,5,16.67,350.07,333.4,4.761904762,16.67,7.6
593-95-4461,3,287,287,2,2,1,3.743,78.603,74.86,4.761904762,3.743,6.9
226-71-3580,2,288,288,2,2,9,10.6875,224.4375,213.75,4.761904762,10.6875,9.5
283-79-9594,2,289,289,3,3,7,16.9785,356.5485,339.57,4.761904762,16.9785,5.2
430-60-3493,1,290,290,1,2,7,33.208,697.368,664.16,4.761904762,33.208,4.2
139-20-0155,3,291,291,3,3,10,20.15,423.15,403.0,4.761904762,20.15,7.0
558-80-4082,4,292,292,2,1,7,9.7475,204.6975,194.95,4.761904762,9.7475,6.0
278-97-7759,1,293,293,1,2,1,3.124,65.604,62.48,4.761904762,3.124,4.7
316-68-6352,1,294,294,1,2,2,3.636,76.356,72.72,4.761904762,3.636,7.1
585-03-5943,4,295,295,3,1,10,9.055,190.155,181.1,4.761904762,9.055,5.9
211-05-0490,1,296,296,2,2,5,12.98,272.58,259.6,4.761904762,12.98,7.5
727-75-6477,4,297,297,2,2,4,5.768,121.128,115.36,4.761904762,5.768,6.4
744-02-5987,3,298,298,1,1,6,23.514,493.794,470.28,4.761904762,23.514,5.8
307-83-9164,3,299,299,1,2,4,12.002,252.042,240.04,4.761904762,12.002,4.5
779-06-0012,1,300,300,2,2,1,4.4305,93.0405,88.61,4.761904762,4.4305,7.7
446-47-6729,4,301,301,2,3,2,9.982,209.622,199.64,4.761904762,9.982,6.7
573-10-3877,3,302,302,3,3,1,1.9505,40.9605,39.01,4.761904762,1.9505,4.7
735-06-4124,4,303,303,2,2,1,2.4305,51.0405,48.61,4.761904762,2.4305,4.4
