invoice_id,customer_type,gender,product_line,unit_price,date,time,year,month,quarter,branch,city,payment_method,quantity,tax_5_percent,sales,cogs,gross_margin_percentage,gross_income,rating
829-34-3910,Member,Female,Health and beauty,71.38,2019-03-29,19:21:00,2019,3,1,Alex,Yangon,Cash,10,35.69,749.49,713.8,4.76,35.69,5.7
299-46-1805,Member,Female,Sports and travel,93.72,2019-01-15,16:19:00,2019,1,1,Cairo,Mandalay,Cash,6,28.12,590.44,562.32,4.76,28.12,4.5
656-95-9349,Member,Female,Health and beauty,68.93,2019-03-11,11:03:00,2019,3,1,Alex,Yangon,Credit card,7,24.13,506.64,482.51,4.76,24.13,4.6
765-26-6951,Member,Female,Sports and travel,72.61,2019-01-01,10:39:00,2019,1,1,Alex,Yangon,Credit card,6,21.78,457.44,435.66,4.76,21.78,6.9
329-62-1586,Member,Female,Food and beverages,54.67,2019-01-21,18:00:00,2019,1,1,Alex,Yangon,Credit card,3,8.2,172.21,164.01,4.76,8.2,8.6
319-50-3348,Member,Female,Home and lifestyle,40.3,2019-03-11,15:30:00,2019,3,1,Cairo,Mandalay,Ewallet,2,4.03,84.63,80.6,4.76,4.03,4.4
300-71-4605,Member,Female,Electronic accessories,86.04,2019-02-25,11:24:00,2019,2,1,Giza,Naypyitaw,Ewallet,5,21.51,451.71,430.2,4.76,21.51,4.8
371-85-5789,Member,Female,Health and beauty,87.98,2019-03-05,10:40:00,2019,3,1,Cairo,Mandalay,Ewallet,3,13.2,277.14,263.94,4.76,13.2,5.1
273-16-6619,Member,Female,Home and lifestyle,33.2,2019-03-15,12:20:00,2019,3,1,Cairo,Mandalay,Credit card,2,3.32,69.72,66.4,4.76,3.32,4.4
636-48-8204,Member,Female,Electronic accessories,34.56,2019-02-17,11:15:00,2019,2,1,Alex,Yangon,Ewallet,5,8.64,181.44,172.8,4.76,8.64,9.9
549-59-1358,Member,Female,Sports and travel,88.63,2019-03-02,17:36:00,2019,3,1,Alex,Yangon,Ewallet,3,13.29,279.18,265.89,4.76,13.29,6.0
227-03-5010,Member,Female,Home and lifestyle,52.59,2019-03-22,19:20:00,2019,3,1,Alex,Yangon,Credit card,8,21.04,441.76,420.72,4.76,21.04,8.5
649-29-6775,Member,Female,Fashion accessories,33.52,2019-02-08,15:31:00,2019,2,1,Cairo,Mandalay,Cash,1,1.68,35.2,33.52,4.76,1.68,6.7
189-17-4241,Member,Female,Fashion accessories,87.67,2019-03-10,12:17:00,2019,3,1,Alex,Yangon,Credit card,2,8.77,184.11,175.34,4.76,8.77,7.7
145-94-9061,Member,Female,Food and beverages,88.36,2019-01-25,19:48:00,2019,1,1,Cairo,Mandalay,Cash,5,22.09,463.89,441.8,4.76,22.09,9.6
848-62-7243,Member,Female,Health and beauty,24.89,2019-03-15,15:36:00,2019,3,1,Alex,Yangon,Cash,9,11.2,235.21,224.01,4.76,11.2,7.4
871-79-8483,Member,Female,Fashion accessories,94.13,2019-02-25,19:39:00,2019,2,1,Cairo,Mandalay,Credit card,5,23.53,494.18,470.65,4.76,23.53,4.8
149-71-6266,Member,Female,Sports and travel,78.07,2019-01-28,12:43:00,2019,1,1,Cairo,Mandalay,Cash,9,35.13,737.76,702.63,4.76,35.13,4.5
640-49-2076,Member,Female,Sports and travel,83.78,2019-01-10,14:49:00,2019,1,1,Cairo,Mandalay,Cash,8,33.51,703.75,670.24,4.76,33.51,5.1
595-11-5460,Member,Female,Health and beauty,96.58,2019-03-15,10:12:00,2019,3,1,Alex,Yangon,Credit card,2,9.66,202.82,193.16,4.76,9.66,5.1
183-56-6882,Member,Female,Food and beverages,99.42,2019-02-06,10:42:00,2019,2,1,Giza,Naypyitaw,Ewallet,4,19.88,417.56,397.68,4.76,19.88,7.5
232-16-2483,Member,Female,Sports and travel,68.12,2019-01-07,12:28:00,2019,1,1,Giza,Naypyitaw,Ewallet,1,3.41,71.53,68.12,4.76,3.41,6.8
129-29-8530,Member,Female,Sports and travel,62.62,2019-03-10,19:15:00,2019,3,1,Alex,Yangon,Ewallet,5,15.66,328.76,313.1,4.76,15.66,7.0
272-65-1806,Member,Female,Electronic accessories,60.88,2019-01-15,17:17:00,2019,1,1,Alex,Yangon,Ewallet,9,27.4,575.32,547.92,4.76,27.4,4.7
333-73-7901,Member,Female,Health and beauty,54.92,2019-03-23,13:24:00,2019,3,1,Giza,Naypyitaw,Ewallet,8,21.97,461.33,439.36,4.76,21.97,7.6
777-82-7220,Member,Female,Home and lifestyle,30.12,2019-03-03,13:01:00,2019,3,1,Cairo,Mandalay,Cash,8,12.05,253.01,240.96,4.76,12.05,7.7
280-35-5823,Member,Female,Home and lifestyle,86.72,2019-01-17,18:45:00,2019,1,1,Cairo,Mandalay,Ewallet,1,4.34,91.06,86.72,4.76,4.34,7.9
554-53-8700,Member,Female,Home and lifestyle,56.11,2019-02-02,10:11:00,2019,2,1,Giza,Naypyitaw,Cash,2,5.61,117.83,112.22,4.76,5.61,6.3
354-25-5821,Member,Female,Sports and travel,69.12,2019-02-08,13:03:00,2019,2,1,Cairo,Mandalay,Cash,6,20.74,435.46,414.72,4.76,20.74,5.6
228-96-1411,Member,Female,Food and beverages,98.7,2019-03-04,20:39:00,2019,3,1,Giza,Naypyitaw,Cash,8,39.48,829.08,789.6,4.76,39.48,7.6
617-15-4209,Member,Female,Health and beauty,15.37,2019-03-16,19:47:00,2019,3,1,Giza,Naypyitaw,Cash,2,1.54,32.28,30.74,4.76,1.54,7.2
132-32-9879,Member,Female,Electronic accessories,93.96,2019-03-09,18:00:00,2019,3,1,Cairo,Mandalay,Cash,4,18.79,394.63,375.84,4.76,18.79,9.5
370-41-7321,Member,Female,Health and beauty,56.69,2019-02-27,17:24:00,2019,2,1,Cairo,Mandalay,Credit card,9,25.51,535.72,510.21,4.76,25.51,8.4
727-46-3608,Member,Female,Food and beverages,20.01,2019-02-06,15:47:00,2019,2,1,Cairo,Mandalay,Ewallet,9,9.0,189.09,180.09,4.76,9.0,4.1
669-54-1719,Member,Female,Electronic accessories,18.93,2019-02-10,12:45:00,2019,2,1,Cairo,Mandalay,Credit card,6,5.68,119.26,113.58,4.76,5.68,8.1
574-22-5561,Member,Female,Fashion accessories,82.63,2019-03-19,17:08:00,2019,3,1,Giza,Naypyitaw,Ewallet,10,41.32,867.62,826.3,4.76,41.32,7.9
326-78-5178,Member,Female,Food and beverages,91.4,2019-02-03,10:19:00,2019,2,1,Giza,Naypyitaw,Cash,7,31.99,671.79,639.8,4.76,31.99,9.5
162-48-8011,Member,Female,Food and beverages,44.59,2019-02-10,15:10:00,2019,2,1,Alex,Yangon,Cash,5,11.15,234.1,222.95,4.76,11.15,8.5
616-24-2851,Member,Female,Fashion accessories,17.87,2019-03-22,14:42:00,2019,3,1,Cairo,Mandalay,Ewallet,4,3.57,75.05,71.48,4.76,3.57,6.5
778-71-5554,Member,Female,Fashion accessories,15.43,2019-01-25,15:46:00,2019,1,1,Giza,Naypyitaw,Credit card,1,0.77,16.2,15.43,4.76,0.77,6.1
242-55-6721,Member,Female,Home and lifestyle,16.16,2019-03-07,11:49:00,2019,3,1,Cairo,Mandalay,Ewallet,2,1.62,33.94,32.32,4.76,1.62,6.5
399-46-5918,Member,Female,Electronic accessories,85.98,2019-02-28,19:01:00,2019,2,1,Giza,Naypyitaw,Cash,8,34.39,722.23,687.84,4.76,34.39,8.2
106-35-6779,Member,Female,Home and lifestyle,44.34,2019-03-27,11:26:00,2019,3,1,Alex,Yangon,Cash,2,4.43,93.11,88.68,4.76,4.43,5.8
635-40-6220,Member,Female,Health and beauty,89.6,2019-02-07,11:28:00,2019,2,1,Alex,Yangon,Ewallet,8,35.84,752.64,716.8,4.76,35.84,6.6
817-48-8732,Member,Female,Home and lifestyle,72.35,2019-01-20,15:55:00,2019,1,1,Alex,Yangon,Cash,10,36.18,759.68,723.5,4.76,36.18,5.4
120-06-4233,Member,Female,Electronic accessories,30.61,2019-03-12,20:36:00,2019,3,1,Giza,Naypyitaw,Cash,6,9.18,192.84,183.66,4.76,9.18,9.3
285-68-5083,Member,Female,Sports and travel,24.74,2019-02-15,17:47:00,2019,2,1,Giza,Naypyitaw,Credit card,3,3.71,77.93,74.22,4.76,3.71,10.0
803-83-5989,Member,Female,Home and lifestyle,55.73,2019-02-24,10:55:00,2019,2,1,Giza,Naypyitaw,Ewallet,6,16.72,351.1,334.38,4.76,16.72,7.0
347-34-2234,Member,Female,Sports and travel,55.07,2019-02-03,13:40:00,2019,2,1,Cairo,Mandalay,Ewallet,9,24.78,520.41,495.63,4.76,24.78,10.0
199-75-8169,Member,Female,Sports and travel,15.81,2019-03-06,12:27:00,2019,3,1,Alex,Yangon,Credit card,10,7.91,166.01,158.1,4.76,7.91,8.6
853-23-2453,Member,Female,Health and beauty,75.74,2019-02-14,14:35:00,2019,2,1,Cairo,Mandalay,Cash,4,15.15,318.11,302.96,4.76,15.15,7.6
877-22-3308,Member,Female,Health and beauty,15.87,2019-03-13,16:40:00,2019,3,1,Alex,Yangon,Cash,10,7.94,166.64,158.7,4.76,7.94,5.8
838-78-4295,Member,Female,Health and beauty,33.47,2019-02-10,15:43:00,2019,2,1,Giza,Naypyitaw,Ewallet,2,3.35,70.29,66.94,4.76,3.35,6.7
109-28-2512,Member,Female,Fashion accessories,97.61,2019-01-07,15:01:00,2019,1,1,Cairo,Mandalay,Ewallet,6,29.28,614.94,585.66,4.76,29.28,9.9
232-11-3025,Member,Female,Sports and travel,78.77,2019-01-24,10:04:00,2019,1,1,Alex,Yangon,Cash,10,39.39,827.09,787.7,4.76,39.39,6.4
382-03-4532,Member,Female,Health and beauty,18.33,2019-02-02,18:50:00,2019,2,1,Alex,Yangon,Cash,1,0.92,19.25,18.33,4.76,0.92,4.3
393-65-2792,Member,Female,Food and beverages,89.48,2019-01-06,12:46:00,2019,1,1,Giza,Naypyitaw,Credit card,10,44.74,939.54,894.8,4.76,44.74,9.6
796-12-2025,Member,Female,Fashion accessories,62.12,2019-02-11,16:19:00,2019,2,1,Giza,Naypyitaw,Cash,10,31.06,652.26,621.2,4.76,31.06,5.9
510-95-6347,Member,Female,Food and beverages,48.52,2019-03-05,18:17:00,2019,3,1,Cairo,Mandalay,Ewallet,3,7.28,152.84,145.56,4.76,7.28,4.0
841-35-6630,Member,Female,Electronic accessories,75.91,2019-03-09,18:21:00,2019,3,1,Giza,Naypyitaw,Cash,6,22.77,478.23,455.46,4.76,22.77,8.7
287-21-9091,Member,Female,Home and lifestyle,74.67,2019-01-22,10:55:00,2019,1,1,Alex,Yangon,Ewallet,9,33.6,705.63,672.03,4.76,33.6,9.4
732-94-0499,Member,Female,Electronic accessories,41.65,2019-01-13,17:04:00,2019,1,1,Giza,Naypyitaw,Credit card,10,20.83,437.33,416.5,4.76,20.83,5.4
263-10-3913,Member,Female,Fashion accessories,49.04,2019-01-09,14:20:00,2019,1,1,Giza,Naypyitaw,Credit card,9,22.07,463.43,441.36,4.76,22.07,8.6
381-20-0914,Member,Female,Fashion accessories,20.01,2019-01-12,15:48:00,2019,1,1,Alex,Yangon,Credit card,9,9.0,189.09,180.09,4.76,9.0,5.7
829-49-1914,Member,Female,Food and beverages,78.31,2019-03-05,16:24:00,2019,3,1,Giza,Naypyitaw,Ewallet,10,39.16,822.26,783.1,4.76,39.16,6.6
756-01-7507,Member,Female,Health and beauty,20.38,2019-01-22,18:56:00,2019,1,1,Giza,Naypyitaw,Cash,5,5.1,107.0,101.9,4.76,5.1,6.0
870-72-4431,Member,Female,Health and beauty,99.19,2019-01-21,14:42:00,2019,1,1,Giza,Naypyitaw,Credit card,6,29.76,624.9,595.14,4.76,29.76,5.5
847-38-7188,Member,Female,Food and beverages,96.68,2019-01-26,19:56:00,2019,1,1,Cairo,Mandalay,Ewallet,3,14.5,304.54,290.04,4.76,14.5,6.4
480-63-2856,Member,Female,Food and beverages,19.25,2019-01-23,18:37:00,2019,1,1,Giza,Naypyitaw,Ewallet,8,7.7,161.7,154.0,4.76,7.7,6.6
787-56-0757,Member,Female,Food and beverages,80.36,2019-02-23,18:45:00,2019,2,1,Giza,Naypyitaw,Credit card,4,16.07,337.51,321.44,4.76,16.07,8.3
360-39-5055,Member,Female,Sports and travel,48.91,2019-03-09,10:17:00,2019,3,1,Giza,Naypyitaw,Cash,5,12.23,256.78,244.55,4.76,12.23,6.6
730-50-9884,Member,Female,Sports and travel,83.06,2019-03-05,14:31:00,2019,3,1,Giza,Naypyitaw,Ewallet,7,29.07,610.49,581.42,4.76,29.07,4.0
362-58-8315,Member,Female,Fashion accessories,76.52,2019-03-25,10:23:00,2019,3,1,Giza,Naypyitaw,Cash,5,19.13,401.73,382.6,4.76,19.13,9.9
633-44-8566,Member,Female,Food and beverages,49.38,2019-03-27,20:35:00,2019,3,1,Alex,Yangon,Credit card,7,17.28,362.94,345.66,4.76,17.28,7.3
504-35-8843,Member,Female,Sports and travel,42.47,2019-01-02,16:57:00,2019,1,1,Alex,Yangon,Cash,1,2.12,44.59,42.47,4.76,2.12,5.7
318-68-5053,Member,Female,Health and beauty,76.99,2019-02-27,17:55:00,2019,2,1,Cairo,Mandalay,Cash,6,23.1,485.04,461.94,4.76,23.1,6.1
565-80-5980,Member,Female,Home and lifestyle,47.38,2019-01-23,10:25:00,2019,1,1,Giza,Naypyitaw,Cash,4,9.48,199.0,189.52,4.76,9.48,7.1
225-32-0908,Member,Female,Sports and travel,44.86,2019-01-26,19:54:00,2019,1,1,Giza,Naypyitaw,Ewallet,10,22.43,471.03,448.6,4.76,22.43,8.2
873-51-0671,Member,Female,Sports and travel,21.98,2019-01-10,16:42:00,2019,1,1,Alex,Yangon,Ewallet,7,7.69,161.55,153.86,4.76,7.69,5.1
152-08-9985,Member,Female,Health and beauty,64.36,2019-03-12,12:09:00,2019,3,1,Cairo,Mandalay,Credit card,9,28.96,608.2,579.24,4.76,28.96,8.6
512-91-0811,Member,Female,Health and beauty,89.75,2019-02-06,20:05:00,2019,2,1,Giza,Naypyitaw,Credit card,1,4.49,94.24,89.75,4.76,4.49,6.6
594-34-4444,Member,Female,Electronic accessories,97.16,2019-03-08,20:38:00,2019,3,1,Alex,Yangon,Ewallet,1,4.86,102.02,97.16,4.76,4.86,7.2
766-85-7061,Member,Female,Health and beauty,87.87,2019-03-29,10:25:00,2019,3,1,Cairo,Mandalay,Ewallet,10,43.94,922.64,878.7,4.76,43.94,5.1
871-39-9221,Member,Female,Electronic accessories,12.45,2019-02-09,13:11:00,2019,2,1,Giza,Naypyitaw,Cash,6,3.74,78.44,74.7,4.76,3.74,4.1
865-92-6136,Member,Female,Food and beverages,52.75,2019-03-23,10:16:00,2019,3,1,Alex,Yangon,Ewallet,3,7.91,166.16,158.25,4.76,7.91,9.3
733-01-9107,Member,Female,Home and lifestyle,82.7,2019-03-05,18:14:00,2019,3,1,Cairo,Mandalay,Cash,6,24.81,521.01,496.2,4.76,24.81,7.4
163-56-7055,Member,Female,Fashion accessories,48.71,2019-03-26,19:20:00,2019,3,1,Giza,Naypyitaw,Cash,1,2.44,51.15,48.71,4.76,2.44,4.1
189-98-2939,Member,Female,Fashion accessories,78.55,2019-03-01,13:22:00,2019,3,1,Giza,Naypyitaw,Cash,9,35.35,742.3,706.95,4.76,35.35,7.2
551-21-3069,Member,Female,Electronic accessories,23.07,2019-02-01,11:27:00,2019,2,1,Giza,Naypyitaw,Cash,9,10.38,218.01,207.63,4.76,10.38,4.9
212-62-1842,Member,Female,Food and beverages,58.26,2019-03-28,16:44:00,2019,3,1,Alex,Yangon,Cash,6,17.48,367.04,349.56,4.76,17.48,9.9
716-39-1409,Member,Female,Health and beauty,30.35,2019-03-19,18:19:00,2019,3,1,Cairo,Mandalay,Cash,7,10.62,223.07,212.45,4.76,10.62,8.0
704-48-3927,Member,Female,Electronic accessories,88.67,2019-01-12,14:50:00,2019,1,1,Alex,Yangon,Ewallet,10,44.34,931.04,886.7,4.76,44.34,7.3
628-34-3388,Member,Female,Fashion accessories,27.38,2019-01-05,20:54:00,2019,1,1,Giza,Naypyitaw,Credit card,6,8.21,172.49,164.28,4.76,8.21,7.9
630-74-5166,Member,Female,Sports and travel,62.13,2019-03-22,20:19:00,2019,3,1,Alex,Yangon,Cash,6,18.64,391.42,372.78,4.76,18.64,7.4
588-01-7461,Member,Female,Food and beverages,33.98,2019-03-24,10:43:00,2019,3,1,Giza,Naypyitaw,Cash,9,15.29,321.11,305.82,4.76,15.29,4.2
861-77-0145,Member,Female,Electronic accessories,81.97,2019-03-03,14:30:00,2019,3,1,Giza,Naypyitaw,Cash,10,40.99,860.69,819.7,4.76,40.99,9.2
479-26-8945,Member,Female,Sports and travel,16.49,2019-02-05,11:32:00,2019,2,1,Cairo,Mandalay,Ewallet,2,1.65,34.63,32.98,4.76,1.65,4.6
210-67-5886,Member,Female,Health and beauty,98.21,2019-02-05,10:41:00,2019,2,1,Giza,Naypyitaw,Credit card,3,14.73,309.36,294.63,4.76,14.73,7.8
227-78-1148,Member,Female,Fashion accessories,72.84,2019-02-15,12:44:00,2019,2,1,Cairo,Mandalay,Cash,7,25.49,535.37,509.88,4.76,25.49,8.4
645-44-1170,Member,Female,Home and lifestyle,58.07,2019-01-19,20:07:00,2019,1,1,Alex,Yangon,Ewallet,9,26.13,548.76,522.63,4.76,26.13,4.3
237-01-6122,Member,Female,Home and lifestyle,80.79,2019-02-01,20:31:00,2019,2,1,Giza,Naypyitaw,Credit card,9,36.36,763.47,727.11,4.76,36.36,9.5
225-98-1496,Member,Female,Fashion accessories,27.02,2019-03-02,13:01:00,2019,3,1,Giza,Naypyitaw,Credit card,3,4.05,85.11,81.06,4.76,4.05,7.1
291-32-1427,Member,Female,Fashion accessories,21.94,2019-03-05,12:29:00,2019,3,1,Cairo,Mandalay,Ewallet,5,5.49,115.19,109.7,4.76,5.49,5.3
659-65-8956,Member,Female,Fashion accessories,51.36,2019-01-16,15:26:00,2019,1,1,Cairo,Mandalay,Ewallet,1,2.57,53.93,51.36,4.76,2.57,5.2
642-32-2990,Member,Female,Food and beverages,10.96,2019-02-02,20:48:00,2019,2,1,Alex,Yangon,Ewallet,10,5.48,115.08,109.6,4.76,5.48,6.0
378-24-2715,Member,Female,Home and lifestyle,53.44,2019-01-20,20:38:00,2019,1,1,Cairo,Mandalay,Ewallet,2,5.34,112.22,106.88,4.76,5.34,4.1
638-60-7125,Member,Female,Electronic accessories,99.56,2019-02-14,17:03:00,2019,2,1,Alex,Yangon,Credit card,8,39.82,836.3,796.48,4.76,39.82,5.2
659-36-1684,Member,Female,Sports and travel,57.12,2019-01-12,12:02:00,2019,1,1,Giza,Naypyitaw,Credit card,7,19.99,419.83,399.84,4.76,19.99,6.5
219-22-9386,Member,Female,Sports and travel,99.96,2019-03-09,17:26:00,2019,3,1,Cairo,Mandalay,Credit card,9,44.98,944.62,899.64,4.76,44.98,4.2
336-78-2147,Member,Female,Home and lifestyle,63.91,2019-03-13,19:52:00,2019,3,1,Giza,Naypyitaw,Credit card,8,25.56,536.84,511.28,4.76,25.56,4.6
268-27-6179,Member,Female,Fashion accessories,56.47,2019-03-09,14:57:00,2019,3,1,Cairo,Mandalay,Ewallet,8,22.59,474.35,451.76,4.76,22.59,7.3
668-90-8900,Member,Female,Home and lifestyle,93.69,2019-03-10,18:44:00,2019,3,1,Alex,Yangon,Credit card,7,32.79,688.62,655.83,4.76,32.79,4.5
870-54-3162,Member,Female,Sports and travel,32.25,2019-01-27,13:26:00,2019,1,1,Alex,Yangon,Cash,5,8.06,169.31,161.25,4.76,8.06,9.0
189-08-9157,Member,Female,Fashion accessories,31.73,2019-01-08,16:17:00,2019,1,1,Giza,Naypyitaw,Credit card,9,14.28,299.85,285.57,4.76,14.28,5.9
663-86-9076,Member,Female,Food and beverages,68.54,2019-01-08,15:57:00,2019,1,1,Giza,Naypyitaw,Ewallet,8,27.42,575.74,548.32,4.76,27.42,8.5
549-84-7482,Member,Female,Sports and travel,90.28,2019-02-08,11:15:00,2019,2,1,Cairo,Mandalay,Ewallet,9,40.63,853.15,812.52,4.76,40.63,7.2
191-10-6171,Normal,Female,Fashion accessories,39.62,2019-01-25,13:18:00,2019,1,1,Cairo,Mandalay,Cash,7,13.87,291.21,277.34,4.76,13.87,7.5
802-70-5316,Member,Female,Sports and travel,92.13,2019-03-06,20:34:00,2019,3,1,Alex,Yangon,Cash,6,27.64,580.42,552.78,4.76,27.64,8.3
695-51-0018,Normal,Female,Sports and travel,34.84,2019-02-10,18:36:00,2019,2,1,Cairo,Mandalay,Cash,4,6.97,146.33,139.36,4.76,6.97,7.4
590-83-4591,Member,Female,Electronic accessories,87.45,2019-02-17,14:40:00,2019,2,1,Cairo,Mandalay,Credit card,6,26.24,550.94,524.7,4.76,26.24,8.8
483-71-1164,Normal,Female,Health and beauty,81.3,2019-03-08,16:43:00,2019,3,1,Giza,Naypyitaw,Ewallet,6,24.39,512.19,487.8,4.76,24.39,5.3
597-78-7908,Normal,Female,Fashion accessories,90.22,2019-02-18,19:39:00,2019,2,1,Giza,Naypyitaw,Cash,3,13.53,284.19,270.66,4.76,13.53,6.2
700-81-1757,Normal,Female,Electronic accessories,26.31,2019-01-18,20:59:00,2019,1,1,Alex,Yangon,Credit card,5,6.58,138.13,131.55,4.76,6.58,8.8
354-39-5160,Member,Female,Home and lifestyle,34.42,2019-02-18,15:39:00,2019,2,1,Alex,Yangon,Cash,6,10.33,216.85,206.52,4.76,10.33,9.8
241-72-9525,Normal,Female,Sports and travel,51.91,2019-02-16,12:21:00,2019,2,1,Cairo,Mandalay,Cash,10,25.96,545.06,519.1,4.76,25.96,8.2
575-30-8091,Normal,Female,Sports and travel,72.5,2019-03-16,19:25:00,2019,3,1,Alex,Yangon,Ewallet,8,29.0,609.0,580.0,4.76,29.0,9.2
731-81-9469,Member,Female,Sports and travel,89.8,2019-01-23,13:00:00,2019,1,1,Giza,Naypyitaw,Credit card,10,44.9,942.9,898.0,4.76,44.9,5.4
280-17-4359,Member,Male,Health and beauty,90.5,2019-01-25,13:48:00,2019,1,1,Giza,Naypyitaw,Cash,10,45.25,950.25,905.0,4.76,45.25,8.1
338-65-2210,Member,Female,Health and beauty,68.6,2019-02-05,19:57:00,2019,2,1,Giza,Naypyitaw,Cash,10,34.3,720.3,686.0,4.76,34.3,9.1
488-25-4221,Member,Female,Food and beverages,30.41,2019-02-22,10:36:00,2019,2,1,Giza,Naypyitaw,Credit card,1,1.52,31.93,30.41,4.76,1.52,8.4
239-10-7476,Normal,Female,Home and lifestyle,77.95,2019-01-21,16:37:00,2019,1,1,Alex,Yangon,Ewallet,6,23.39,491.09,467.7,4.76,23.39,8.0
458-41-1477,Normal,Female,Health and beauty,46.26,2019-03-08,17:11:00,2019,3,1,Giza,Naypyitaw,Credit card,6,13.88,291.44,277.56,4.76,13.88,9.5
685-64-1609,Member,Female,Fashion accessories,30.14,2019-02-10,12:28:00,2019,2,1,Alex,Yangon,Ewallet,10,15.07,316.47,301.4,4.76,15.07,9.2
568-90-5112,Normal,Male,Health and beauty,66.14,2019-03-19,12:46:00,2019,3,1,Giza,Naypyitaw,Credit card,4,13.23,277.79,264.56,4.76,13.23,5.6
262-47-2794,Member,Male,Home and lifestyle,71.86,2019-03-06,15:07:00,2019,3,1,Cairo,Mandalay,Credit card,8,28.74,603.62,574.88,4.76,28.74,6.2
238-49-0436,Normal,Male,Health and beauty,32.46,2019-03-27,13:48:00,2019,3,1,Alex,Yangon,Credit card,8,12.98,272.66,259.68,4.76,12.98,4.9
608-96-3517,Member,Female,Fashion accessories,91.54,2019-03-23,19:20:00,2019,3,1,Cairo,Mandalay,Credit card,4,18.31,384.47,366.16,4.76,18.31,4.8
584-86-7256,Member,Male,Sports and travel,34.56,2019-03-11,16:07:00,2019,3,1,Giza,Naypyitaw,Credit card,7,12.1,254.02,241.92,4.76,12.1,7.3
746-94-0204,Normal,Male,Fashion accessories,83.24,2019-01-29,11:56:00,2019,1,1,Alex,Yangon,Credit card,9,37.46,786.62,749.16,4.76,37.46,7.4
214-17-6927,Normal,Female,Food and beverages,16.48,2019-02-07,18:23:00,2019,2,1,Giza,Naypyitaw,Ewallet,6,4.94,103.82,98.88,4.76,4.94,9.9
400-89-4171,Normal,Female,Sports and travel,80.97,2019-01-28,13:05:00,2019,1,1,Giza,Naypyitaw,Cash,8,32.39,680.15,647.76,4.76,32.39,9.3
782-95-9291,Member,Male,Food and beverages,92.29,2019-02-20,15:55:00,2019,2,1,Alex,Yangon,Credit card,5,23.07,484.52,461.45,4.76,23.07,9.0
279-74-2924,Member,Male,Electronic accessories,72.17,2019-01-04,19:40:00,2019,1,1,Cairo,Mandalay,Cash,1,3.61,75.78,72.17,4.76,3.61,6.1
307-85-2293,Normal,Male,Home and lifestyle,50.28,2019-03-07,13:58:00,2019,3,1,Cairo,Mandalay,Ewallet,5,12.57,263.97,251.4,4.76,12.57,9.7
743-04-1105,Member,Male,Health and beauty,97.22,2019-03-30,14:43:00,2019,3,1,Cairo,Mandalay,Ewallet,9,43.75,918.73,874.98,4.76,43.75,6.0
423-57-2993,Normal,Male,Sports and travel,93.39,2019-03-27,19:18:00,2019,3,1,Cairo,Mandalay,Ewallet,6,28.02,588.36,560.34,4.76,28.02,10.0
